id,id_mal,title,year,season,episodes,average_score,mean_score,popularity,favourites,genres,source,studio
143086,50663,Pop Team Epic Season 2,2022,FALL,12,74,75,17526,242,Comedy,MANGA,Space Neko Company
143203,50678,AMAIM Warrior at the Borderline Part 2,2022,SPRING,12,61,62,4832,57,Fantasy|Mecha|Sci-Fi,ORIGINAL,Sunrise Beyond
143270,50709,Lycoris Recoil,2022,SUMMER,13,81,81,202448,9429,Action|Slice of Life,ORIGINAL,A-1 Pictures
143277,50710,Urusei Yatsura (2022) Seasons 1 & 2,2022,FALL,23,72,72,72796,1311,Comedy|Romance|Sci-Fi|Supernatural,MANGA,david production
143417,50760,TEPPEN!!!!!!!!!!!!!!! Laughing 'til You Cry,2022,SUMMER,12,63,63,9027,86,Comedy|Slice of Life,MANGA,Drive
144323,50891,Lucifer and the Biscuit Hammer,2022,SUMMER,24,50,50,22115,177,Action|Comedy|Drama|Psychological|Supernatural,MANGA,NAZ
144509,50917,Prima Doll,2022,SUMMER,12,67,67,14737,224,Drama|Sci-Fi|Slice of Life,OTHER,Bibury Animation Studios
144533,50923,Bibliophile Princess,2022,FALL,12,67,67,28665,519,Drama|Romance,LIGHT_NOVEL,MADHOUSE
144858,50985,Chimimo,2022,SUMMER,12,65,67,1813,33,Comedy|Slice of Life|Supernatural,ORIGINAL,Shin-Ei Animation
145001,50999,Extreme Hearts,2022,SUMMER,12,62,62,5962,61,Music|Sports,ORIGINAL,Seven Arcs
145260,51064,Black Summoner,2022,SUMMER,12,69,69,89998,1782,Action|Adventure|Fantasy,LIGHT_NOVEL,Satelight
145468,51092,YUREI DECO,2022,SUMMER,12,57,57,8822,42,Mystery|Sci-Fi,ORIGINAL,Science SARU
145545,51096,Classroom of the Elite Season 2,2022,SUMMER,13,79,79,247502,6665,Drama|Mystery|Psychological,LIGHT_NOVEL,Lerche
145604,51098,Shinobi no Ittoki,2022,FALL,12,58,58,58843,725,Action,ORIGINAL,TROYCA
145815,51128,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,2022,FALL,12,57,57,53331,879,Adventure|Comedy|Fantasy|Slice of Life,LIGHT_NOVEL,studio A-CAT
146210,51213,Vermeil in Gold,2022,SUMMER,12,67,67,105045,2370,Ecchi|Fantasy|Romance,MANGA,Staple Entertainment
146233,51212,Immoral Guild,2022,FALL,12,63,63,39160,770,Action|Comedy|Ecchi|Fantasy,MANGA,TNK
146475,51306,Housing Complex C,2022,FALL,4,50,50,12005,103,Horror|Supernatural,ORIGINAL,Akatsuki
146625,51417,Engage Kiss,2022,SUMMER,13,66,66,87983,1433,Action|Comedy|Romance|Supernatural,OTHER,A-1 Pictures
